# wavelength[A] tau flux flux_error
1.150000e+03 1.556425e-02 9.845562e-01 9.922481e-02
1.150010e+03 1.556466e-02 9.845558e-01 9.922479e-02
1.150020e+03 1.556506e-02 9.845554e-01 9.922477e-02
1.150030e+03 1.556547e-02 9.845550e-01 9.922475e-02
1.150040e+03 1.556588e-02 9.845546e-01 9.922473e-02
1.150050e+03 1.556628e-02 9.845542e-01 9.922471e-02
1.150060e+03 1.556669e-02 9.845538e-01 9.922469e-02
1.150070e+03 1.556709e-02 9.845534e-01 9.922467e-02
1.150080e+03 1.556750e-02 9.845530e-01 9.922465e-02
1.150090e+03 1.556791e-02 9.845526e-01 9.922463e-02
1.150100e+03 1.556831e-02 9.845522e-01 9.922461e-02
1.150110e+03 1.556872e-02 9.845518e-01 9.922459e-02
1.150120e+03 1.556912e-02 9.845514e-01 9.922457e-02
1.150130e+03 1.556953e-02 9.845510e-01 9.922455e-02
1.150140e+03 1.556994e-02 9.845506e-01 9.922453e-02
1.150150e+03 1.557034e-02 9.845502e-01 9.922451e-02
1.150160e+03 1.557075e-02 9.845498e-01 9.922449e-02
1.150170e+03 1.557115e-02 9.845494e-01 9.922447e-02
1.150180e+03 1.557156e-02 9.845490e-01 9.922445e-02
1.150190e+03 1.557197e-02 9.845486e-01 9.922442e-02
1.150200e+03 1.557237e-02 9.845482e-01 9.922440e-02
1.150210e+03 1.557278e-02 9.845478e-01 9.922438e-02
1.150220e+03 1.557319e-02 9.845474e-01 9.922436e-02
1.150230e+03 1.557359e-02 9.845470e-01 9.922434e-02
1.150240e+03 1.557400e-02 9.845466e-01 9.922432e-02
1.150250e+03 1.557440e-02 9.845462e-01 9.922430e-02
1.150260e+03 1.557481e-02 9.845458e-01 9.922428e-02
1.150270e+03 1.557522e-02 9.845454e-01 9.922426e-02
1.150280e+03 1.557562e-02 9.845450e-01 9.922424e-02
1.150290e+03 1.557603e-02 9.845446e-01 9.922422e-02
1.150300e+03 1.557644e-02 9.845443e-01 9.922420e-02
1.150310e+03 1.557684e-02 9.845439e-01 9.922418e-02
1.150320e+03 1.557725e-02 9.845435e-01 9.922416e-02
1.150330e+03 1.557765e-02 9.845431e-01 9.922414e-02
1.150340e+03 1.557806e-02 9.845427e-01 9.922412e-02
1.150350e+03 1.557847e-02 9.845423e-01 9.922410e-02
1.150360e+03 1.557887e-02 9.845419e-01 9.922408e-02
1.150370e+03 1.557928e-02 9.845415e-01 9.922406e-02
1.150380e+03 1.557969e-02 9.845411e-01 9.922404e-02
1.150390e+03 1.558009e-02 9.845407e-01 9.922402e-02
1.150400e+03 1.558050e-02 9.845403e-01 9.922400e-02
1.150410e+03 1.558090e-02 9.845399e-01 9.922398e-02
1.150420e+03 1.558131e-02 9.845395e-01 9.922396e-02
1.150430e+03 1.558172e-02 9.845390e-01 9.922394e-02
1.150440e+03 1.558212e-02 9.845386e-01 9.922392e-02
1.150450e+03 1.558253e-02 9.845382e-01 9.922390e-02
1.150460e+03 1.558294e-02 9.845378e-01 9.922388e-02
1.150470e+03 1.558334e-02 9.845374e-01 9.922386e-02
